Matthew , 17 F
Mark , 16 F
John , 9 F
Joseph , 16 F
Joseph , 17 F
Nancy , 12 F
Steven , 5 F
Betty , 15 F
Emily , 16 F
Amanda , 7 F
Karen , 5 F
Michael , 17 F
Michael , 6 F
Elizabeth , 11 F
Karen , 5 F
Sarah , 15 F
Sandra , 9 F
Sarah , 17 F
Stephanie , 8 F
Sarah , 6 F
Elizabeth , 17 F
David , 17 F
Thomas , 17 F
John , 7 F
Helen , 12 F
Jessica , 10 F
Sandra , 17 F
Maria , 9 F
Lisa , 6 F
Daniel , 18 F
Robert , 8 F
Paul , 7 F
Steven , 5 F
Michael , 6 F
Helen , 6 F
Paul , 16 F
Maria , 9 F
William , 11 F
Stephanie , 8 F
Michael , 10 F
James , 12 F
Jennifer , 14 F
Helen , 15 F
Ashley , 5 F
John , 15 F
Stephanie , 18 F
Daniel , 12 F
Emily , 11 F
Elizabeth , 10 F
Jessica , 16 F
Jessica , 9 F
Paul , 17 F
James , 13 F
Sandra , 6 F
Amanda , 6 F
Paul , 6 F
Paul , 18 F
Paul , 8 F
Mark , 15 F
Thomas , 14 F
Betty , 5 F
Sandra , 12 F
David , 13 F
Joseph , 16 F
Lisa , 18 F
Robert , 6 F
Steven , 16 F
William , 5 F
Jessica , 16 F
Karen , 15 F
Maria , 16 F
Maria , 13 F
Charles , 5 F
Karen , 14 F
Mark , 18 F
Helen , 10 F
Charles , 15 F
Sandra , 12 F
Robert , 10 F
Jessica , 13 F
Betty , 18 F
Maria , 6 F
James , 15 F
Lisa , 18 F
Paul , 10 F
Steven , 11 F
Anthony , 11 F
Paul , 6 F
Helen , 6 F
Mark , 7 F
John , 7 F
Emily , 5 F
Michael , 16 F
Joseph , 12 F
Michael , 6 F
Paul , 13 F
Maria , 14 F
Sandra , 13 F
Mark , 10 F
Paul , 7 F
Daniel , 11 F
